Date,Price,Open,High,Low,Vol.,Change %
21/07/2020,17.72,17.47,17.98,17.40,3.29,1.44%
20/07/2020,17.47,18.01,18.33,17.28,3.68,-3.00%
19/07/2020,18.01,17.13,18.10,16.90,3.75,5.10%
18/07/2020,17.13,17.07,17.32,16.83,2.60,0.36%
17/07/2020,17.07,17.15,17.48,16.99,2.79,-0.43%
16/07/2020,17.15,17.63,17.76,16.56,3.20,-2.73%
15/07/2020,17.63,18.09,18.15,17.44,2.91,-2.55%
14/07/2020,18.09,18.42,18.76,17.88,3.43,-1.77%
13/07/2020,18.42,18.31,18.99,17.73,4.28,0.62%
12/07/2020,18.31,17.62,18.59,17.60,4.01,3.89%
11/07/2020,17.62,17.30,17.68,17.03,3.13,1.85%
10/07/2020,17.30,16.83,17.33,16.44,2.82,2.76%
09/07/2020,16.84,17.28,17.47,16.49,2.70,-2.47%
08/07/2020,17.26,16.80,17.45,16.62,3.23,2.76%
07/07/2020,16.80,16.30,16.86,16.06,2.77,3.06%
06/07/2020,16.30,15.51,16.33,15.44,2.47,5.13%
05/07/2020,15.50,15.56,15.61,15.16,1.83,-0.34%
04/07/2020,15.56,15.28,15.63,15.23,2.03,1.84%
03/07/2020,15.28,15.36,15.48,15.26,1.94,-0.53%
02/07/2020,15.36,15.81,15.96,15.09,2.26,-2.88%
01/07/2020,15.81,15.40,15.88,15.34,2.58,2.66%
30/06/2020,15.40,15.46,15.54,15.25,2.18,-0.38%
29/06/2020,15.46,15.38,15.59,15.21,2.66,0.45%
28/06/2020,15.39,15.13,15.49,14.93,2.93,1.74%
27/06/2020,15.13,15.77,15.87,14.85,2.55,-4.05%
26/06/2020,15.77,15.91,15.99,15.58,2.05,-0.89%
25/06/2020,15.91,16.00,16.08,15.51,2.08,-0.58%
24/06/2020,16.00,16.39,16.64,15.98,2.49,-2.37%
23/06/2020,16.39,16.50,16.54,16.27,2.48,-0.68%
22/06/2020,16.50,15.97,16.52,15.96,2.94,3.33%
21/06/2020,15.97,16.06,16.31,15.94,2.30,-0.54%
20/06/2020,16.06,15.97,16.09,15.72,2.42,0.50%
19/06/2020,15.98,16.15,16.28,15.91,2.32,-1.10%
18/06/2020,16.15,16.40,16.53,15.91,2.48,-1.47%
17/06/2020,16.40,16.43,16.62,16.01,2.66,-0.19%
16/06/2020,16.43,16.38,16.62,16.16,3.00,0.31%
15/06/2020,16.38,16.56,16.60,15.54,2.88,-1.12%
14/06/2020,16.56,16.81,16.84,16.43,3.14,-1.46%
13/06/2020,16.81,16.64,16.81,16.49,3.57,1.01%
12/06/2020,16.64,16.23,16.78,16.10,3.42,2.54%
11/06/2020,16.23,17.39,17.49,15.98,3.25,-6.70%
10/06/2020,17.39,17.37,17.57,17.25,3.29,0.13%
09/06/2020,17.37,17.43,17.51,17.12,3.02,-0.33%
08/06/2020,17.43,17.42,17.54,17.26,3.05,0.07%
07/06/2020,17.42,17.56,17.64,16.91,3.35,-0.81%
06/06/2020,17.56,17.70,17.79,17.51,3.74,-0.78%
05/06/2020,17.70,17.52,17.89,17.45,4.21,1.01%
04/06/2020,17.52,17.56,17.67,17.08,3.99,-0.22%
03/06/2020,17.56,17.28,17.62,17.04,4.48,1.58%
02/06/2020,17.28,17.92,18.19,16.78,4.46,-3.56%
01/06/2020,17.92,17.10,18.08,16.99,5.28,4.75%
31/05/2020,17.11,17.73,18.16,16.87,4.77,-3.51%
30/05/2020,17.73,17.00,17.78,16.94,5.42,4.28%
29/05/2020,17.00,17.08,17.18,16.68,4.86,-0.44%
